n,c,k,t_tot,dt_prim,dt_sec,mean_t_sec,dev_t_sec,m_tot,dm_prim,dm_sec,mean_m_sec,dev_m_sec
1000000,3.000000,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.969697,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.939394,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.909091,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.878788,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.848485,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.818182,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.787879,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.757576,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.727273,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.696970,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.666667,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.636364,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.606061,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.575758,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.545455,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.515152,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.484848,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.454545,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.424242,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.393939,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.363636,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.333333,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.303030,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.272727,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.242424,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.212121,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.181818,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.151515,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.121212,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.090909,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.060606,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.030303,4.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1000000,2.000000,4.000000,9497942,2556949.000000,6940993.000000,6.940993,25.141006,71979696.000000,56000000.000000,15979696.000000,15.979696,26.446480
1000000,1.969697,4.000000,10594058,2593039.000000,8001019.000000,8.001019,33.190123,72008740.000000,56000000.000000,16008740.000000,16.008740,26.543168
